PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-21,14:14:59.52,1,1,"Pettey, Corden",10879322,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.97886,-3.611547,-2.638472,1599.356178,222.315193,1:30,5.93206,1.49355,5.97202,-22.83871,16.15509,13.47831,0.67254,0.16886,77.46345,-7.898119,-0.216162,0.449438,,,,,,,,,,,,-7.76559,9.7917,-1.29222,50,5.63285,5.14458,-123.06403,-8.44875,-11.81983,26.13033,-17.27034,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251021-BaggettStadium-Private-1,016be7b0-aec3-11f0-ac76-89f35cacca50,83.8658,,,7.51541,,,,,,,485241d2-c40c-40ad-a974-e362c99f4b21,2025-10-21,21:14:59.52,2025-10-21T14:14:59.5257856-07:00,2025-10-21T21:14:59.5257856Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,3e07f387-2e96-47fd-823b-a72a80abc00d,54.52851,-124.02185,13.06517,5.93094,-7.8157,-8.63517,-1.48874,5.57784,-5.90991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-10-21,14:15:20.92,1,2,"Pettey, Corden",10879322,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.55364,-3.673584,-2.780906,1641.718385,239.456028,2:00,5.94202,1.46069,6.11538,-28.44667,10.58583,15.7515,0.16617,0.20005,77.55583,-8.953289,0.060036,0.44966,,,,,,,,,,,,-9.0939,6.89989,-1.25601,50,5.64465,5.37194,-122.53865,-8.74007,-13.76618,25.21263,-21.7291,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251021-BaggettStadium-Private-1,0e2b2650-aec3-11f0-ac76-89f35cacca50,83.82426,,,6.99781,,,,,,,485241d2-c40c-40ad-a974-e362c99f4b21,2025-10-21,21:15:20.92,2025-10-21T14:15:20.9257984-07:00,2025-10-21T21:15:20.9257984Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,3a3fbccf-7201-4817-8457-aac5d9b6b701,54.38752,-123.43809,12.60632,5.94262,-7.9649,-10.86455,-1.45641,5.86304,-6.88309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-10-21,14:15:39.07,1,3,"Pettey, Corden",10879322,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.37833,-3.036374,-1.166744,2205.205517,181.751356,12:00,5.9678,1.27227,6.48862,-10.28705,22.58045,0.65705,2.31968,0.2557,83.24793,-5.078631,-1.047552,0.412624,90.8338,35.314239,-39.412234,4258.057291,78.39149,65.34622,-77.16715,327.79325,214.45603,-53.912608,4.680541,-0.68335,13.04272,-1.19068,50,5.74963,2.6754,-132.64615,-7.22967,-1.21223,29.52103,-9.03653,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251021-BaggettStadium-Private-1,18f99170-aec3-11f0-ac76-89f35cacca50,91.34807,81.26999,,8.1304,,,,1.33783,2.85144,-1.49097,485241d2-c40c-40ad-a974-e362c99f4b21,2025-10-21,21:15:39.07,2025-10-21T14:15:39.0722048-07:00,2025-10-21T21:15:39.0722048Z,FlyBall,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,c832981e-d5d1-40b1-a29e-b2ae77815ea2,54.01113,-133.53586,14.76052,5.96341,-6.95732,-4.51826,-1.27186,2.71193,-0.60612,,1.33795,83.98866,-19.88707,4.99037,-1.23057,0.29901,-0.06409,0.00868,-0.00049,2.85155,77.00487,-22.05809,1.97488,-0.2373,-0.01817,0.01579,-0.00249,0.00012,-1.49131,-69.01541,3.72156,-0.08988,-0.05326,-0.0134,0.01375,-0.00318,0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2025-10-21,14:16:00.39,1,4,"Pettey, Corden",10879322,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.57894,-1.711536,-0.789025,2233.086115,201.841544,12:45,5.91034,1.30196,6.42559,-14.46725,19.58005,7.32733,3.13089,1.18725,81.13002,-4.553673,0.539407,0.419965,,,,,,,,,,,,-4.05776,11.13792,-1.24861,50,5.78143,1.50276,-131.35889,-4.2515,-6.9354,33.48105,-13.13743,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251021-BaggettStadium-Private-1,25b68620-aec3-11f0-ac76-89f35cacca50,89.75147,,,9.44892,,,,,,,485241d2-c40c-40ad-a974-e362c99f4b21,2025-10-21,21:16:00.39,2025-10-21T14:16:00.3971584-07:00,2025-10-21T21:16:00.3971584Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,a826fc3b-0a3f-4bba-98b5-f2f91d3b3df7,54.06991,-132.39217,16.74053,5.90638,-3.84606,-6.56872,-1.29829,1.71679,-3.4677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-10-21,14:16:22.69,1,5,"Pettey, Corden",10879322,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.06331,-3.599048,-2.66745,2256.999565,202.27315,12:45,5.87538,1.28527,6.54769,-13.53422,19.97336,7.66926,1.43904,-0.52361,82.05956,-6.252809,-1.275819,0.416623,61.56024,-31.831878,68.640095,,,,,4.63092,4.63092,38.214556,0.033081,-4.91563,12.04052,-1.10384,50,5.62002,5.84185,-131.87662,-8.60606,-8.50751,32.55594,-11.33551,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251021-BaggettStadium-Private-1,32f33220-aec3-11f0-ac76-89f35cacca50,90.47141,1.58003,,9.00375,,,,2.7115,1.58003,0.49439,485241d2-c40c-40ad-a974-e362c99f4b21,2025-10-21,21:16:22.69,2025-10-21T14:16:22.6942976-07:00,2025-10-21T21:16:22.6942976Z,GroundBall,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,ef3d0747-2999-4d99-9584-bc6c26508324,53.95128,-132.84849,16.27797,5.87188,-8.26767,-5.66775,-1.28202,6.09582,-4.25376,,2.71105,28.02279,,,,,,,,1.58078,-47.76293,,,,,,,,0.49325,71.6533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2025-10-21,14:16:59.56,2,1,"Pettey, Corden",10879322,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Double,0,0,,80.7986,0.22984,-0.399445,2475.507534,81.614963,8:45,5.9667,1.20737,5.68579,-43.07597,0.45512,-7.01678,2.59128,0.2503,73.50987,-7.693989,-1.655745,0.474866,77.64384,-0.523703,-45.352736,3983.489183,,,,42.92426,39.74714,-42.295225,0.365074,3.48264,0.50882,-1.16909,50,5.9588,1.08677,-117.28635,-0.95052,4.79124,24.74005,-31.47405,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251021-BaggettStadium-Private-1,48f69260-aec3-11f0-ac76-89f35cacca50,79.37489,2.94591,,7.28874,,,,4.38299,2.94591,-0.29303,485241d2-c40c-40ad-a974-e362c99f4b21,2025-10-21,21:16:59.56,2025-10-21T14:16:59.5678720-07:00,2025-10-21T21:16:59.5678720Z,GroundBall,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,66d8bb0f-6cff-4db2-8770-484fbf7d510c,54.81562,-118.29778,12.37002,5.97136,0.33621,-15.73702,-1.20952,0.89089,2.39562,,4.3878,79.84668,-13.44396,,,,,,,2.95087,-1.22185,-18.83051,,,,,,,-0.29421,-80.97127,7.27733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2025-10-21,14:17:45.56,3,1,"Pettey, Corden",10879322,Right,CAL_MUS,"Castro, Antonio",1000300490,Left,CAL_MUS,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.00021,-2.367461,-1.684184,1568.211229,218.386831,1:15,5.89836,1.5816,6.07678,-22.24005,17.80021,12.91123,1.85225,1.09874,75.68953,-6.602223,0.641652,0.455428,,,,,,,,,,,,-7.18311,10.38099,-1.45792,50,5.70337,3.06522,-121.71308,-5.64324,-10.58034,27.91889,-16.88336,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251021-BaggettStadium-Private-1,646a7700-aec3-11f0-ac76-89f35cacca50,82.76262,,,8.31068,,,,,,,485241d2-c40c-40ad-a974-e362c99f4b21,2025-10-21,21:17:45.56,2025-10-21T14:17:45.5679488-07:00,2025-10-21T21:17:45.5679488Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,08985677-5dc0-4c4d-9c95-77e84a33049f,54.42025,-122.72282,13.95944,5.89642,-5.03261,-8.44168,-1.5757,3.44788,-5.29017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-10-21,14:18:02.17,3,2,"Pettey, Corden",10879322,Right,CAL_MUS,"Castro, Antonio",1000300490,Left,CAL_MUS,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.147,-2.210219,-0.685607,2195.377185,195.16256,12:30,5.99598,1.60352,6.40594,-13.07253,20.96544,5.35933,2.87307,1.41966,81.63422,-4.774618,0.285594,0.419907,,,,,,,,,,,,-2.9828,11.92918,-1.55658,50,5.83116,1.34498,-130.83581,-5.3305,-5.11806,30.20747,-11.70519,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251021-BaggettStadium-Private-1,6e299500-aec3-11f0-ac76-89f35cacca50,89.76374,,,8.51277,,,,,,,485241d2-c40c-40ad-a974-e362c99f4b21,2025-10-21,21:18:02.17,2025-10-21T14:18:02.1753344-07:00,2025-10-21T21:18:02.1753344Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,5f7e796d-4b41-4c5e-ae74-d556f0fb59c3,54.09116,-131.77699,15.10373,5.99157,-4.96579,-5.8526,-1.60097,1.50444,-2.55903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-21,14:18:23.88,3,3,"Pettey, Corden",10879322,Right,CAL_MUS,"Castro, Antonio",1000300490,Left,CAL_MUS,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.76548,-3.373359,-1.269514,1606.383392,217.959181,1:15,5.91574,1.56294,5.85942,-22.79127,17.68107,12.64587,0.87797,1.4371,75.93715,-7.66462,1.000453,0.457879,,,,,,,,,,,,-6.93595,10.56501,-1.46762,50,5.62864,2.19457,-121.33579,-7.81701,-10.19427,26.86526,-16.6459,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251021-BaggettStadium-Private-1,7b40b7a0-aec3-11f0-ac76-89f35cacca50,82.31968,,,7.82833,,,,,,,485241d2-c40c-40ad-a974-e362c99f4b21,2025-10-21,21:18:23.88,2025-10-21T14:18:23.8850560-07:00,2025-10-21T21:18:23.8850560Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,c721e622-0b77-47d8-a919-47cc01012dd0,54.64049,-122.35894,13.43263,5.91427,-7.18306,-8.32295,-1.55859,2.58281,-5.09713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-21,14:18:43.16,3,4,"Pettey, Corden",10879322,Right,CAL_MUS,"Castro, Antonio",1000300490,Left,CAL_MUS,Undefined,1,Top,1,2,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.28855,-2.807358,-2.733804,2281.981626,194.17588,12:30,5.87409,1.53646,6.53105,-12.76875,21.93167,5.22481,2.22969,-0.5379,80.69581,-5.327417,-1.786465,0.423974,,,,,,,,,,,,-3.57067,12.69552,-1.34846,50,5.6727,5.96843,-129.39386,-6.60017,-5.97953,30.08367,-10.91381,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251021-BaggettStadium-Private-1,86a150a0-aec3-11f0-ac76-89f35cacca50,88.90282,,,8.59274,,,,,,,485241d2-c40c-40ad-a974-e362c99f4b21,2025-10-21,21:18:43.16,2025-10-21T14:18:43.1691776-07:00,2025-10-21T21:18:43.1691776Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,17343a2a-bb5c-4800-833b-7c48ea589cd5,53.96572,-130.31261,15.04184,5.86918,-6.26686,-5.4569,-1.53352,6.15104,-2.98977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
