PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-28,13:57:28.30,1,1,"Pettey, Corden",10879322,Right,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,89.58145,-2.04555,-1.29436,2170.91583,174.041217,11:45,6.02829,1.38983,6.83227,-15.52233,18.20422,-1.7841,2.86776,0.06037,81.64082,-5.0607,-1.620203,0.417982,104.95122,17.07918,11.388523,1098.703434,107.34294,28.11142,24.03103,325.40014,325.40014,15.979869,2.968749,0.57087,10.62434,-1.30617,50,5.8909,3.00674,-130.20598,-5.0078,0.97414,28.86869,-14.04423,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251028-BaggettStadium-Private-1,b7a20280-b440-11f0-a51a-97ab21df8871,90.17722,33.07812,,7.94063,,,,2.06414,2.95464,-0.08084,36307084-b432-4468-80ff-7a64bff9b272,2025-10-28,20:57:28.30,2025-10-28T13:57:28.3028992-07:00,2025-10-28T20:57:28.3028992Z,LineDrive,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,1a301248-3e97-40d1-8d14-313bdfcd547a,53.66825,-131.01676,14.43434,6.026,-4.61336,-7.02212,-1.39023,2.97938,0.48707,231.597251,2.06404,144.2468,-22.39605,5.11559,-1.20392,0.29562,-0.0613,0.00786,-0.00043,2.955,45.19382,-18.92243,1.75972,-0.21792,-0.01474,0.00094,0.00321,-0.00053,-0.08084,29.05428,0.64992,-0.1485,0.03498,-0.0086,0.00178,-0.00023,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-10-28,13:58:16.47,2,1,"Pettey, Corden",10879322,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,0,0,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.33312,-2.094766,-1.223939,2171.694847,144.80889,10:45,6.07696,1.58366,6.08213,-27.2486,10.0217,-6.23311,1.86688,-0.06831,79.20273,-7.166216,-2.347361,0.439393,91.33717,17.277273,36.350255,3543.992394,85.01377,24.00372,69.80343,257.27445,236.76467,44.457698,2.651087,2.88843,6.12016,-1.48576,50,5.90054,2.92176,-125.37222,-5.4414,4.58814,25.81897,-22.45245,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251028-BaggettStadium-Private-1,d4643910-b440-11f0-a51a-97ab21df8871,85.78307,25.17378,,7.13038,,,,2.12164,1.90299,0.04888,36307084-b432-4468-80ff-7a64bff9b272,2025-10-28,20:58:16.47,2025-10-28T13:58:16.4736000-07:00,2025-10-28T20:58:16.4736000Z,LineDrive,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,978e9745-82d0-442d-afbf-813f18aebf27,54.41857,-126.2789,12.90948,6.07778,-4.65294,-11.22622,-1.58553,2.76064,2.29407,,2.12137,103.03924,-19.69837,4.53998,-1.59368,0.74781,-0.30822,0.07258,-0.00688,1.90314,39.77819,-18.94242,1.7989,-0.01241,-0.23078,0.13232,-0.03303,0.00309,0.04876,75.82525,-1.39013,-1.28571,0.32833,0.07117,-0.08116,0.02288,-0.00228,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-10-28,13:58:50.54,2,2,"Pettey, Corden",10879322,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.18391,-3.181512,-1.896535,2142.946708,189.366739,12:15,5.89866,1.43513,6.43631,-15.58965,18.69501,2.87315,1.67108,-0.06901,81.25194,-6.205658,-1.375842,0.421426,,,,,,,,,,,,-2.1211,11.17469,-1.30148,50,5.66496,4.21015,-130.65998,-7.64613,-3.6023,32.04684,-13.19588,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251028-BaggettStadium-Private-1,e8ab9170-b440-11f0-a51a-97ab21df8871,89.44022,,,8.93197,,,,,,,36307084-b432-4468-80ff-7a64bff9b272,2025-10-28,20:58:50.54,2025-10-28T13:58:50.5452544-07:00,2025-10-28T20:58:50.5452544Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,a9c1b4a8-f91c-43df-9e8a-e61784ee5ec5,54.06092,-131.65223,16.02342,5.89538,-7.23755,-6.59794,-1.43357,4.32169,-1.80115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-10-28,13:59:05.40,2,3,"Pettey, Corden",10879322,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,0,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.97893,-1.622838,-1.389686,2373.905196,62.115284,8:00,5.96089,1.28826,5.78426,-44.11546,-2.35071,-6.87233,0.77389,-0.57763,75.69983,-9.664705,-2.62381,0.465132,,,,,,,,,,,,3.15669,-0.44283,-1.16933,50,5.80003,3.14848,-119.07771,-4.84401,4.5231,23.30522,-32.80859,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251028-BaggettStadium-Private-1,f1933b30-b440-11f0-a51a-97ab21df8871,81.03598,,,6.2791,,,,,,,36307084-b432-4468-80ff-7a64bff9b272,2025-10-28,20:59:05.40,2025-10-28T13:59:05.4072320-07:00,2025-10-28T20:59:05.4072320Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,78a0c736-fc48-4937-a511-5f12421232f7,54.71879,-119.99769,11.65261,5.96569,-3.54888,-16.40429,-1.29009,2.96993,2.26155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-10-28,13:59:29.10,2,4,"Pettey, Corden",10879322,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,81.23984,-0.555994,-1.234929,2399.200252,69.06677,8:15,5.90351,1.4748,5.89775,-43.99231,-2.16902,-8.63776,1.72116,-0.39171,75.69775,-8.590927,-2.787958,0.465458,99.51493,-1.925017,1.291462,,,,,30.56371,29.18272,2.046802,0.195233,4.17181,-0.69858,-1.37024,50,5.83295,2.8649,-118.21083,-2.57645,5.96382,20.36306,-33.1727,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251028-BaggettStadium-Private-1,ffaefc90-b440-11f0-a51a-97ab21df8871,80.97923,1.89851,,5.54209,,,,2.87622,1.89851,0.30184,36307084-b432-4468-80ff-7a64bff9b272,2025-10-28,20:59:29.10,2025-10-28T13:59:29.1062784-07:00,2025-10-28T20:59:29.1062784Z,GroundBall,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,803d1d1d-b19f-4288-b16f-be86ce1e17cd,54.60647,-119.0017,10.18153,5.908,-1.28808,-16.58635,-1.47701,2.63328,2.98191,335.650927,2.87712,145.77494,-20.82642,,,,,,,1.89985,-4.99394,-24.30097,,,,,,,0.30146,3.31355,3.76764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-10-28,14:00:18.99,3,1,"Pettey, Corden",10879322,Right,CAL_MUS,"Falsken, Cade",829588,Left,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.63862,-3.177643,-2.564069,2123.965143,169.251034,11:45,5.93982,1.2755,6.73706,-17.57989,16.00678,-2.84732,1.56534,-1.30628,82.6472,-6.522781,-3.082515,0.417114,,,,,,,,,,,,0.83244,9.62497,-1.10565,50,5.72305,5.93407,-130.15247,-7.68147,1.43548,25.95785,-15.57644,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251028-BaggettStadium-Private-1,1d686460-b441-11f0-a51a-97ab21df8871,90.3648,,,6.99142,,,,,,,36307084-b432-4468-80ff-7a64bff9b272,2025-10-28,21:00:18.99,2025-10-28T14:00:18.9954560-07:00,2025-10-28T21:00:18.9954560Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,3230168f-8726-475e-8ffe-a72ee789b1d2,53.76347,-130.90091,12.97892,5.93805,-7.23235,-7.78822,-1.27615,5.89268,0.71774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-10-28,14:00:35.42,3,2,"Pettey, Corden",10879322,Right,CAL_MUS,"Falsken, Cade",829588,Left,CAL_MUS,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.8669,-3.447588,-2.211326,1157.79656,231.092472,1:45,5.8819,1.53159,6.12139,-32.32927,6.21292,6.20555,-0.00574,0.00333,78.30136,-9.402314,-1.091014,0.446827,,,,,,,,,,,,-3.86858,4.49394,-1.36557,50,5.60034,4.52348,-123.10446,-8.4376,-5.93632,24.44986,-25.27812,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251028-BaggettStadium-Private-1,273209b0-b441-11f0-a51a-97ab21df8871,84.35574,,,6.56554,,,,,,,36307084-b432-4468-80ff-7a64bff9b272,2025-10-28,21:00:35.42,2025-10-28T14:00:35.4290000-07:00,2025-10-28T21:00:35.4290000Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,41503aab-1b61-46a4-9ad3-cd3dc5caf93f,54.38108,-123.97154,12.22493,5.88367,-7.54116,-12.63906,-1.52972,4.734,-2.96816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.19055,,,1.248853,,,,4.07935,5.96928,1.03542,127.28472,4.05969,0.35082,4.21467,110.91498,-10.03916,5.97626,12.46362,-11.22047,1.00953,-2.37928,1.50813,High,High,High,,,High,High,Medium
8,2025-10-28,14:01:07.50,3,3,"Pettey, Corden",10879322,Right,CAL_MUS,"Falsken, Cade",829588,Left,CAL_MUS,Undefined,1,Top,0,2,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.83779,-3.11641,-2.161453,2190.906459,185.618337,12:15,5.88095,1.51066,6.67134,-15.53828,18.97792,1.75587,1.73002,-0.32148,81.19563,-6.116097,-1.841955,0.422847,,,,,,,,,,,,-1.54693,11.25469,-1.36649,50,5.66529,4.80085,-128.93762,-7.38949,-2.59669,27.52698,-13.28169,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251028-BaggettStadium-Private-1,3a5358a0-b441-11f0-a51a-97ab21df8871,89.13973,,,7.64216,,,,,,,36307084-b432-4468-80ff-7a64bff9b272,2025-10-28,21:01:07.50,2025-10-28T14:01:07.5092992-07:00,2025-10-28T21:01:07.5092992Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,7ea8115b-beae-4a2e-b2c7-80e06d6ff6c9,53.82862,-129.75242,13.76349,5.8782,-6.99636,-6.64085,-1.50973,4.87771,-1.29835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-28,14:01:25.77,3,4,"Pettey, Corden",10879322,Right,CAL_MUS,"Falsken, Cade",829588,Left,CAL_MUS,Undefined,1,Top,0,2,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.11278,-3.497124,-1.546279,2214.46241,184.141822,12:15,5.87824,1.20878,6.64827,-17.6182,15.64123,1.0613,1.20397,-0.11844,83.23183,-6.840062,-1.353051,0.415077,,,,,,,,,,,,-0.9641,9.48449,-1.10501,50,5.63486,3.49502,-130.91352,-8.47369,-1.68476,25.83408,-15.59964,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251028-BaggettStadium-Private-1,452e6df0-b441-11f0-a51a-97ab21df8871,90.8083,,,6.88095,,,,,,,36307084-b432-4468-80ff-7a64bff9b272,2025-10-28,21:01:25.77,2025-10-28T14:01:25.7757696-07:00,2025-10-28T21:01:25.7757696Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,713b133f-d126-4056-8a53-018072b87203,53.8539,-131.67184,12.91704,5.87687,-8.01579,-7.79982,-1.20832,3.54448,-0.84238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-28,14:01:45.80,3,5,"Pettey, Corden",10879322,Right,CAL_MUS,"Falsken, Cade",829588,Left,CAL_MUS,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.13988,0.669192,0.176548,2328.11996,60.820643,8:00,5.8906,1.46615,5.60475,-46.61943,-3.31858,-7.98914,2.63038,0.9652,74.69842,-7.81339,-1.251995,0.473609,,,,,,,,,,,,4.10559,-1.4991,-1.47593,50,5.91726,-0.05201,-116.6195,-0.22288,5.73541,18.97393,-34.26826,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251028-BaggettStadium-Private-1,51148aa0-b441-11f0-a51a-97ab21df8871,79.58563,,,5.44146,,,,,,,36307084-b432-4468-80ff-7a64bff9b272,2025-10-28,21:01:45.80,2025-10-28T14:01:45.8000384-07:00,2025-10-28T21:01:45.8000384Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,37ec4903-c284-4472-bd56-f4101d8cd686,54.89916,-117.41388,9.48697,5.89656,1.21184,-17.13413,-1.46872,-0.29214,2.8677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
