PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-11,11:43:48.56,1,1,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Castellon, Nate",835064,Right,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.02764,-2.773552,2.319233,2244.856718,157.999416,11:15,6.56541,-1.83849,5.51156,-12.89544,22.65285,-8.52587,2.89294,-0.37896,80.26662,-5.326397,0.801673,0.429122,90.32038,-8.837246,-37.570459,,,,,20.33418,19.11595,-33.332556,0.144886,5.20181,12.92138,1.64208,50,6.31542,-4.92721,-131.40532,-6.68951,8.75939,37.41544,-10.41557,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251011-BaggettStadium-Private-1,39c30330-a6d2-11f0-ac76-89f35cacca50,87.83616,2.95501,,10.76102,,,,1.92452,2.95501,0.41534,648affb2-c105-4c23-af42-8a715cd8df44,2025-10-11,18:43:48.56,2025-10-11T11:43:48.5640000-07:00,2025-10-11T18:43:48.5640000Z,GroundBall,v3,471251,471251,,"Tayman, Ryan",678,Right,CAL_MUS,7b740d82-aae8-428a-8649-e3735c8af0b9,54.9837,-132.81676,18.70772,6.56036,-6.2966,-5.20779,1.83419,-5.25764,4.3797,180,1.91925,103.97577,,,,,,,,2.95604,-20.39545,,,,,,,,0.4194,-79.98676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-10-11,11:44:28.17,2,1,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.25757,-3.034962,4.014482,2274.973873,149.190246,11:00,6.44934,-1.82883,5.87982,-14.74894,17.76308,-9.9276,2.39204,1.07834,84.7257,-5.853591,2.239478,0.410387,,,,,,,,,,,,6.20803,10.27682,1.5095,50,6.19475,-9.01536,-134.88957,-7.59512,11.3801,30.72941,-13.33543,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251011-BaggettStadium-Private-1,51449f00-a6d2-11f0-ac76-89f35cacca50,91.84608,,,8.53188,,,,,,,648affb2-c105-4c23-af42-8a715cd8df44,2025-10-11,18:44:28.17,2025-10-11T11:44:28.1740000-07:00,2025-10-11T18:44:28.1740000Z,,v3,471251,471251,,"Tayman, Ryan",678,Right,CAL_MUS,f008eafc-aa8b-44ef-b6a1-889126d520cf,54.61833,-135.93761,15.36471,6.44603,-7.14031,-6.66771,1.8236,-9.40348,5.69005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-10-11,11:44:49.90,2,2,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,1,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.42613,-3.385972,2.9429,2090.474042,127.625623,10:15,6.46371,-1.9737,5.52564,-19.29064,15.80698,-18.89753,1.68272,-0.79474,82.05472,-7.004637,-0.423457,0.426393,,,,,,,,,,,,10.41008,9.36611,1.73047,50,6.15595,-5.86976,-130.82429,-8.38591,17.88489,29.83514,-16.08275,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251011-BaggettStadium-Private-1,5e57a2f0-a6d2-11f0-ac76-89f35cacca50,88.39832,,,8.37141,,,,,,,648affb2-c105-4c23-af42-8a715cd8df44,2025-10-11,18:44:49.90,2025-10-11T11:44:49.9030000-07:00,2025-10-11T18:44:49.9030000Z,,v3,471251,471251,,"Tayman, Ryan",678,Right,CAL_MUS,d7068bdb-b6df-4f5f-9b14-e3d87bda9487,54.97415,-131.95379,14.91757,6.4619,-7.77704,-8.04137,1.9655,-6.54684,8.94244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-10-11,11:45:11.12,2,3,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,1,1,Cutter,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.606,-1.551011,1.770717,2289.515102,171.381379,11:45,6.57934,-1.93235,5.46507,-16.89501,18.69048,-2.65091,3.71868,-0.49541,81.40891,-4.752589,1.299048,0.429347,,,,,,,,,,,,1.84213,10.1967,1.77825,50,6.43145,-3.89382,-129.88655,-4.04055,3.13116,28.4806,-14.84231,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251011-BaggettStadium-Private-1,6ae6d0e0-a6d2-11f0-ac76-89f35cacca50,87.79024,,,8.19709,,,,,,,648affb2-c105-4c23-af42-8a715cd8df44,2025-10-11,18:45:11.12,2025-10-11T11:45:11.1230000-07:00,2025-10-11T18:45:11.1230000Z,,v3,471251,471251,,"Tayman, Ryan",678,Right,CAL_MUS,8717fbea-5a95-4d88-9b3e-d2823da95210,55.03216,-130.98532,14.2403,6.57629,-3.46794,-7.42116,1.9308,-4.01462,1.56558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-10-11,11:45:33.34,2,4,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.72502,-2.544521,2.012937,2066.927537,116.740554,10:00,6.43037,-2.15937,5.42977,-23.60324,12.43465,-21.97411,2.07724,-2.10449,80.73282,-6.945291,-1.899563,0.432067,,,,,,,,,,,,11.64071,7.49252,1.99629,50,6.18865,-3.54504,-129.83328,-6.59657,19.49204,32.00094,-19.62804,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251011-BaggettStadium-Private-1,7826ff50-a6d2-11f0-ac76-89f35cacca50,87.23749,,,8.9922,,,,,,,648affb2-c105-4c23-af42-8a715cd8df44,2025-10-11,18:45:33.34,2025-10-11T11:45:33.3430000-07:00,2025-10-11T18:45:33.3430000Z,,v3,471251,471251,,"Tayman, Ryan",678,Right,CAL_MUS,43930703-5691-4c4e-998d-8a6b80df9b08,55.06825,-131.07653,16.00047,6.43012,-5.834,-9.81402,2.14873,-4.30232,9.74602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-10-11,11:45:56.79,2,5,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.40035,-3.479678,5.744208,1611.546244,132.427645,10:30,6.39326,-1.98301,6.26939,-27.82785,12.80654,-12.35469,0.84611,2.30098,75.49032,-8.698729,3.525378,0.458795,,,,,,,,,,,,8.23524,8.21634,1.56221,50,6.12078,-11.62443,-120.25736,-8.14199,11.88067,26.55282,-20.32063,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251011-BaggettStadium-Private-1,863b46a0-a6d2-11f0-ac76-89f35cacca50,82.15535,,,7.91003,,,,,,,648affb2-c105-4c23-af42-8a715cd8df44,2025-10-11,18:45:56.79,2025-10-11T11:45:56.7920000-07:00,2025-10-11T18:45:56.7920000Z,,v3,471251,471251,,"Tayman, Ryan",678,Right,CAL_MUS,9cdf1f39-a57d-4115-8ce1-5da681dab774,54.22873,-121.18747,13.27641,6.39351,-7.43018,-10.16032,1.97669,-12.04059,5.94033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-10-11,11:46:19.80,2,6,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,3,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.26646,-2.604116,2.668634,2310.990135,155.15252,11:15,6.55749,-1.92918,5.7086,-14.92674,19.25155,-8.35768,2.883,-0.13745,82.65032,-5.463828,1.175869,0.420772,96.98279,41.414686,-1.017661,4641.018643,109.99191,91.56099,-1.33005,348.37804,348.37804,-1.191741,5.776105,5.08689,10.95343,1.71084,50,6.33003,-5.79366,-132.18251,-6.45456,8.91202,30.74484,-12.98409,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251011-BaggettStadium-Private-1,93f056f0-a6d2-11f0-ac76-89f35cacca50,89.57932,124.89327,,8.61614,,,,2.245,3.00678,0.16382,648affb2-c105-4c23-af42-8a715cd8df44,2025-10-11,18:46:19.80,2025-10-11T11:46:19.8070000-07:00,2025-10-11T18:46:19.8070000Z,FlyBall,v3,471251,471251,,"Tayman, Ryan",678,Right,CAL_MUS,dc00250e-7d1a-4f03-9369-10f3699278c2,54.79119,-133.29225,15.37242,6.55455,-5.9859,-6.49205,1.92577,-6.11535,4.45601,181.922101,2.25099,106.5433,-23.47756,5.74327,-0.84246,0.04557,0.00541,-0.00087,3E-05,3.00798,94.06268,-20.85845,1.19219,0.05777,-0.10344,0.03062,-0.004,0.0002,0.16379,-1.89229,0.9518,-0.38889,0.07536,-0.00441,-0.00127,0.00027,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-10-11,11:47:02.05,3,1,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.04815,-1.956256,2.50806,2380.216674,146.796032,11:00,6.54061,-1.89369,5.74825,-13.82501,19.68942,-11.97099,3.56475,-0.55472,82.40826,-4.666688,0.367722,0.416665,,,,,,,,,,,,6.92323,11.05863,1.69219,50,6.36967,-5.31898,-134.48019,-4.95338,12.287,37.54737,-12.54769,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251011-BaggettStadium-Private-1,ad01ba80-a6d2-11f0-ac76-89f35cacca50,90.4622,,,10.63989,,,,,,,648affb2-c105-4c23-af42-8a715cd8df44,2025-10-11,18:47:02.05,2025-10-11T11:47:02.0550000-07:00,2025-10-11T18:47:02.0550000Z,,v3,471251,471251,,"Tayman, Ryan",678,Right,CAL_MUS,f51e99b8-f2b3-4d86-ba1d-c52b6bc28ef7,54.74501,-135.79856,18.77368,6.53585,-4.5128,-6.27384,1.88653,-5.7504,6.1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-11,11:47:24.09,3,2,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,2,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.64609,-3.145063,3.161082,2243.971676,156.11153,11:15,6.57185,-1.91895,5.70685,-13.73367,20.59037,-8.52934,2.48957,0.31858,82.11872,-5.812058,1.638967,0.421668,,,,,,,,,,,,5.37296,11.87174,1.65907,50,6.29941,-6.92361,-132.42863,-7.65119,9.3498,33.57784,-11.51523,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251011-BaggettStadium-Private-1,ba25d570-a6d2-11f0-ac76-89f35cacca50,89.38894,,,9.52737,,,,,,,648affb2-c105-4c23-af42-8a715cd8df44,2025-10-11,18:47:24.09,2025-10-11T11:47:24.0940000-07:00,2025-10-11T18:47:24.0940000Z,,v3,471251,471251,,"Tayman, Ryan",678,Right,CAL_MUS,13a08ded-5f52-4180-b4f0-182b4147cadc,54.78964,-133.63755,16.78892,6.56741,-7.2366,-5.75762,1.9144,-7.26023,4.6749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-11,11:47:48.05,3,3,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,2,0,2,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.86451,-2.52524,3.680243,2188.984697,177.972012,12:00,6.49296,-1.87605,5.63439,-18.85155,18.13044,-0.59701,2.55952,1.51263,79.87052,-6.078,3.573996,0.43769,,,,,,,,,,,,1.39878,10.31091,1.56293,50,6.26574,-8.14988,-127.11063,-6.1915,2.27281,27.72198,-15.42022,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251011-BaggettStadium-Private-1,c86f84a0-a6d2-11f0-ac76-89f35cacca50,86.11677,,,7.99399,,,,,,,648affb2-c105-4c23-af42-8a715cd8df44,2025-10-11,18:47:48.05,2025-10-11T11:47:48.0560000-07:00,2025-10-11T18:47:48.0560000Z,,v3,471251,471251,,"Tayman, Ryan",678,Right,CAL_MUS,133a5358-b1fc-426e-a301-8f8f82ee60eb,54.86347,-128.16693,13.86099,6.49046,-5.60394,-7.71011,1.87511,-8.23648,1.13641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
