PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-11-05,14:54:39.66,1,1,"Estes, Brady",1000344394,Left,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.7627,-2.165057,3.38942,2089.280673,156.799277,11:15,6.14097,-2.38596,6.45701,-15.56084,18.93659,-7.58,2.85089,0.09968,80.97225,-5.190888,2.01802,0.422732,,,,,,,,,,,,5.0176,10.92977,2.14902,50,5.98028,-7.39392,-130.0382,-5.29531,8.4705,30.85763,-13.72292,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251105-BaggettStadium-Private-1,6a4c4a80-ba9a-11f0-a51a-97ab21df8871,89.16399,,,8.79044,,,,,,,4ce01a3d-2db4-471d-b38b-735cb3531b5d,2025-11-05,22:54:39.66,2025-11-05T14:54:39.6603392-08:00,2025-11-05T22:54:39.6603392Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,23bc6321-d09c-411e-966b-f9eae70b8d0b,54.04013,-130.9934,15.42882,6.13762,-4.87051,-6.86146,2.38196,-7.65613,4.23525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-11-05,14:54:57.20,1,2,"Estes, Brady",1000344394,Left,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.96327,1.973368,2.076161,1809.265732,280.87487,3:15,5.89029,-2.51747,5.90107,-48.69093,-0.84614,13.01138,3.66661,0.49506,69.788,-7.022878,4.407915,0.497839,90.43443,1.587153,-11.45424,2833.833483,,,,77.03599,73.81191,-14.766485,0.612076,-6.02052,-0.62992,2.34284,50,6.02126,-4.51772,-111.59193,2.35457,-7.47325,23.00427,-32.95598,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251105-BaggettStadium-Private-1,74cbf960-ba9a-11f0-a51a-97ab21df8871,75.71215,3.98664,,7.17528,,,,2.0295,3.78651,-0.48694,4ce01a3d-2db4-471d-b38b-735cb3531b5d,2025-11-05,22:54:57.20,2025-11-05T14:54:57.2045312-08:00,2025-11-05T22:54:57.2045312Z,GroundBall,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,1f8cec3b-281d-4884-87f8-5a62b6abe445,54.59975,-112.53616,11.50213,5.89686,3.70727,-16.47799,2.52198,-4.21097,-3.73663,88.544412,2.05599,129.36416,-18.07075,,,,,,,3.80045,3.36766,-15.68155,,,,,,,-0.46129,-26.89808,-7.29685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-11-05,14:55:31.10,2,1,"Estes, Brady",1000344394,Left,CAL_MUS,"Castellon, Nate",835064,Right,CAL_MUS,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.28254,-1.411455,2.947901,1608.909621,130.302996,10:15,5.90796,-2.32157,6.86513,-25.84238,14.27477,-15.20532,2.46589,-0.89924,74.80601,-6.351114,0.17055,0.455865,,,,,,,,,,,,8.92394,8.42111,2.13832,50,5.80858,-5.62348,-119.46543,-3.57528,12.78064,24.95001,-20.11358,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251105-BaggettStadium-Private-1,88ded440-ba9a-11f0-a51a-97ab21df8871,82.6833,,,7.47654,,,,,,,4ce01a3d-2db4-471d-b38b-735cb3531b5d,2025-11-05,22:55:31.10,2025-11-05T14:55:31.1073280-08:00,2025-11-05T22:55:31.1073280Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,6f9e0ccf-dd33-43ea-a2da-80029773d97f,53.63367,-120.22191,12.475,5.90774,-2.96544,-10.05679,2.3147,-6.01099,6.39032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-11-05,14:55:42.21,2,2,"Estes, Brady",1000344394,Left,CAL_MUS,"Castellon, Nate",835064,Right,CAL_MUS,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.14938,-2.303671,3.841558,1317.660322,131.267305,10:30,5.86117,-2.30349,6.88062,-31.02124,11.15233,-11.12327,1.17098,0.27546,73.44428,-8.16008,1.810977,0.467403,,,,,,,,,,,,7.0776,7.01386,2.06353,50,5.7037,-7.45174,-116.28002,-5.45674,9.64487,22.75723,-22.61599,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251105-BaggettStadium-Private-1,8f906420-ba9a-11f0-a51a-97ab21df8871,80.64225,,,6.7051,,,,,,,4ce01a3d-2db4-471d-b38b-735cb3531b5d,2025-11-05,22:55:42.21,2025-11-05T14:55:42.2171136-08:00,2025-11-05T22:55:42.2171136Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,e7799bc1-c586-4c78-ac0f-1d1ffd462118,53.62054,-116.98645,11.37862,5.8622,-4.75469,-11.308,2.29949,-7.75114,4.82244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-11-05,14:55:55.99,2,3,"Estes, Brady",1000344394,Left,CAL_MUS,"Castellon, Nate",835064,Right,CAL_MUS,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.91626,-2.680046,2.468921,2068.679821,148.008393,11:00,6.08371,-2.17524,6.26709,-19.15143,16.05087,-9.26363,2.01276,-0.66955,80.75641,-6.327207,0.795675,0.427029,72.49474,8.436003,126.868835,2578.521533,-69.8003,6.43302,85.01706,151.57743,48.9698,130.155636,1.654495,5.5424,9.50264,1.99662,50,5.87556,-5.18187,-128.90526,-6.57485,9.24438,28.97602,-16.32425,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251105-BaggettStadium-Private-1,97cc8ba0-ba9a-11f0-a51a-97ab21df8871,88.26679,7.84971,,8.15985,,,,-1.19685,1.70462,0.71663,4ce01a3d-2db4-471d-b38b-735cb3531b5d,2025-11-05,22:55:55.99,2025-11-05T14:55:55.9970816-08:00,2025-11-05T22:55:55.9970816Z,GroundBall,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,3cf8003d-636d-40fa-8346-9721397683be,54.23137,-129.85293,14.48801,6.08186,-6.04096,-8.16212,2.17104,-5.48421,4.62219,,-1.27278,-62.48487,2.54836,,,,,,,1.67814,15.86372,-10.19761,,,,,,,0.99448,81.82502,-7.5857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2025-11-05,14:56:14.84,2,4,"Estes, Brady",1000344394,Left,CAL_MUS,"Castellon, Nate",835064,Right,CAL_MUS,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.4287,0.167775,2.624291,2023.924327,150.493695,11:00,6.11177,-2.38592,6.55096,-15.55296,18.78599,-9.97552,4.9697,-0.80904,80.95906,-2.862883,0.814318,0.421759,,,,,,,,,,,,5.97914,10.11449,2.20815,50,6.11623,-5.55115,-129.82539,0.01989,10.12107,29.25742,-15.05292,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251105-BaggettStadium-Private-1,a2ea4f40-ba9a-11f0-a51a-97ab21df8871,89.36952,,,8.46964,,,,,,,4ce01a3d-2db4-471d-b38b-735cb3531b5d,2025-11-05,22:56:14.84,2025-11-05T14:56:14.8405248-08:00,2025-11-05T22:56:14.8405248Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,e64738c1-8b31-49b2-bfc6-e8cdaa15474a,53.94671,-130.71179,14.62871,6.10872,0.47594,-7.52646,2.38098,-5.85778,5.06053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-11-05,14:56:27.38,2,5,"Estes, Brady",1000344394,Left,CAL_MUS,"Castellon, Nate",835064,Right,CAL_MUS,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,81.88382,-0.924098,2.475561,1593.225487,129.816921,10:15,5.8058,-2.50477,6.72692,-30.10368,10.45658,-10.93619,2.45173,-1.15221,74.74416,-6.618771,0.481943,0.458376,98.78151,6.985745,11.159245,1593.99635,,,,133.7892,132.14305,15.241686,1.065739,6.51079,6.20402,2.34505,50,5.73305,-4.76616,-118.96778,-2.71202,9.27535,24.09643,-23.33573,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251105-BaggettStadium-Private-1,aa818430-ba9a-11f0-a51a-97ab21df8871,82.23042,6.28005,,7.13966,,,,0.80744,2.38321,1.15559,4ce01a3d-2db4-471d-b38b-735cb3531b5d,2025-11-05,22:56:27.38,2025-11-05T14:56:27.3880576-08:00,2025-11-05T22:56:27.3880576Z,GroundBall,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,5b51388a-9b86-46bf-95cd-bd5be78326a0,53.77294,-119.72953,12.04822,5.80713,-1.97432,-11.66786,2.50036,-5.05937,4.63767,282.199607,0.80744,141.0849,-22.27902,3.24577,-0.65184,0.11519,-0.0211,0.00373,-0.00039,2.38321,17.62057,-21.03185,2.76851,-0.61549,0.15125,-0.03258,0.00615,-0.00071,1.15559,27.83129,5.59789,-2.13443,0.5778,-0.14949,0.03451,-0.0068,0.00078,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-11-05,14:56:59.84,3,1,"Estes, Brady",1000344394,Left,CAL_MUS,"Tayman, Ryan",822034,Right,CAL_MUS,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.3906,-1.688931,3.599965,1965.987154,141.878767,10:45,6.09729,-2.55746,6.39049,-19.48871,16.80643,-12.1993,2.91622,-0.25843,79.23476,-5.42188,1.395264,0.433606,72.03159,49.900706,142.318072,3803.951281,,,,,53.30493,,,7.47784,9.65737,2.3038,50,5.96656,-7.49949,-126.69171,-4.26143,12.04031,28.13947,-16.62439,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251105-BaggettStadium-Private-1,bddd6b20-ba9a-11f0-a51a-97ab21df8871,86.92777,49.84773,,8.15585,,,,0.9382,2.99633,0.28915,4ce01a3d-2db4-471d-b38b-735cb3531b5d,2025-11-05,22:56:59.84,2025-11-05T14:56:59.8455808-08:00,2025-11-05T22:56:59.8455808Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,b631ed32-c313-427b-91ee-9266342de6a7,54.1092,-127.60114,14.06973,6.0956,-3.72415,-8.3122,2.55246,-7.88861,6.02015,338.481371,0.9382,-53.85358,-1.14418,1.975,-0.88066,1.03719,-1.58658,1.32794,-0.42589,2.99633,80.81244,-32.19951,4.63252,-1.29229,1.20968,-1.70934,1.34921,-0.41435,0.28915,41.59676,-6.15545,1.69145,-0.56182,0.66921,-1.01063,0.81997,-0.25657,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2025-11-05,14:57:18.74,3,2,"Estes, Brady",1000344394,Left,CAL_MUS,"Tayman, Ryan",822034,Right,CAL_MUS,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.30592,-2.401863,3.620417,2176.933064,160.942747,11:15,6.08316,-2.43828,6.38221,-13.8565,21.00737,-6.83055,2.71314,0.32756,80.80025,-5.110923,2.387164,0.424971,68.25246,56.476576,114.465738,5040.177806,,,,,22.13508,,,4.68343,12.05823,2.1802,50,5.90312,-7.91299,-129.36691,-5.75084,7.84981,29.75365,-11.96352,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251105-BaggettStadium-Private-1,c9176950-ba9a-11f0-a51a-97ab21df8871,88.69415,33.25695,,8.50567,,,,0.76477,2.70851,-0.31194,4ce01a3d-2db4-471d-b38b-735cb3531b5d,2025-11-05,22:57:18.74,2025-11-05T14:57:18.7404288-08:00,2025-11-05T22:57:18.7404288Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,f2fa9983-73ed-4ff6-86e8-7a002d4bc5ea,54.11649,-130.31024,14.87682,6.07943,-5.37155,-5.98176,2.43503,-8.16187,3.9249,328.515234,0.77516,-23.22575,-4.28232,,,,,,,2.72428,82.95801,-27.42794,,,,,,,-0.30461,50.09181,-7.63593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2025-11-05,14:57:38.86,3,3,"Estes, Brady",1000344394,Left,CAL_MUS,"Tayman, Ryan",822034,Right,CAL_MUS,Undefined,1,Top,1,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.03783,0.23109,3.327243,1861.094603,318.355198,4:30,5.91302,-2.3968,5.77905,-55.98058,-8.86697,9.40422,1.46336,1.48629,70.80828,-9.99687,5.010282,0.49402,,,,,,,,,,,,-3.65803,-4.13874,2.1161,50,5.89853,-6.92393,-113.02852,-1.36455,-4.62303,25.03113,-37.4046,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251105-BaggettStadium-Private-1,d52420d0-ba9a-11f0-a51a-97ab21df8871,76.2974,,,7.22955,,,,,,,4ce01a3d-2db4-471d-b38b-735cb3531b5d,2025-11-05,22:57:38.86,2025-11-05T14:57:38.8628992-08:00,2025-11-05T22:57:38.8628992Z,,v3,471251,471251,,"Van der Wel, Vincent",1000373332,Right,CAL_MUS,aca69ecd-9939-4d30-848e-f9402008f05e,54.72211,-114.06948,12.51556,5.92294,0.19098,-18.7023,2.40005,-6.73168,-2.31152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
