PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-11-01,10:27:48.54,1,1,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.21139,-3.180344,3.249297,2410.169879,144.605492,10:45,6.47274,-1.68266,5.67686,-16.02288,16.66847,-11.06099,2.16476,0.42804,84.89138,-6.210323,1.275679,0.411517,,,,,,,,,,,,6.62296,9.74627,1.41574,50,6.19409,-7.17313,-134.95568,-8.02656,12.16082,30.5735,-14.27828,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251101-BaggettStadium-Private-1,113c7af0-b748-11f0-a51a-97ab21df8871,91.59387,,,8.32001,,,,,,,748acbdf-b998-4a2c-87cd-82bef55141e1,2025-11-01,17:27:48.54,2025-11-01T10:27:48.5460992-07:00,2025-11-01T17:27:48.5460992Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,8530e182-b705-41d9-9656-0f68e577c996,54.8244,-136.04423,15.28675,6.47082,-7.51819,-7.13914,1.67884,-7.60611,6.08041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-11-01,10:28:08.88,1,2,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,1,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.62904,-1.093661,3.517993,2363.913312,180.636045,12:00,6.35917,-2.04103,5.32365,-28.61679,9.64957,0.09331,2.94605,1.27228,79.14625,-6.353743,3.534519,0.445225,,,,,,,,,,,,0.95929,5.52532,1.72223,50,6.2396,-7.7168,-125.45491,-3.42438,1.52478,26.0106,-23.39163,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251101-BaggettStadium-Private-1,1d4e6290-b748-11f0-a51a-97ab21df8871,84.65921,,,7.48279,,,,,,,748acbdf-b998-4a2c-87cd-82bef55141e1,2025-11-01,17:28:08.88,2025-11-01T10:28:08.8892416-07:00,2025-11-01T17:28:08.8892416Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,98d29ec5-ce0b-47c7-8112-f95db7d5fb06,55.17519,-126.52333,13.0053,6.36053,-2.46353,-11.69581,2.04049,-7.77944,0.76239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-11-01,10:28:30.63,1,3,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.65543,-2.27517,3.541245,2378.676373,268.369385,3:00,6.20354,-2.06752,5.62484,-40.9338,1.55591,9.25418,0.66409,2.01246,75.55407,-9.696926,5.191369,0.469152,,,,,,,,,,,,-3.73642,1.79406,1.75917,50,5.98271,-7.68225,-118.32733,-6.09028,-5.29493,22.67739,-29.63168,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251101-BaggettStadium-Private-1,2a5c3660-b748-11f0-a51a-97ab21df8871,80.34168,,,6.10136,,,,,,,748acbdf-b998-4a2c-87cd-82bef55141e1,2025-11-01,17:28:30.63,2025-11-01T10:28:30.6342912-07:00,2025-11-01T17:28:30.6342912Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,e15cef95-d3ec-480c-97ca-dd0603b275b7,54.87699,-119.25834,11.33869,6.20778,-4.87376,-14.81584,2.0701,-7.46487,-2.64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-11-01,10:28:57.48,1,4,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,2,1,FourSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.17541,-2.413446,2.463988,2233.831639,136.96645,10:30,6.34303,-2.04317,5.96519,-19.58233,13.36776,-11.46768,2.46996,-0.71272,84.10005,-6.097852,0.403926,0.413142,96.80614,-6.667549,34.645765,,,,,22.00985,20.57429,33.096717,0.14226,6.65059,7.89516,1.8543,50,6.14051,-5.26898,-133.70424,-6.27117,11.99383,29.83825,-17.93573,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251101-BaggettStadium-Private-1,3a55b870-b748-11f0-a51a-97ab21df8871,91.23353,2.60916,,8.07536,,,,2.38613,2.60916,0.70371,748acbdf-b998-4a2c-87cd-82bef55141e1,2025-11-01,17:28:57.48,2025-11-01T10:28:57.4867456-07:00,2025-11-01T17:28:57.4867456Z,GroundBall,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,aacd2db7-927c-4b91-ba34-7ef25b2cfb2b,54.53602,-134.71272,14.91912,6.34222,-5.66497,-8.96787,2.03923,-5.67435,5.99691,271.909126,2.38669,115.96368,-22.01292,,,,,,,2.6093,-16.49767,-12.96917,,,,,,,0.70371,80.17151,-4.46415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-11-01,10:29:41.28,2,1,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.34686,-2.956196,2.867193,1300.364481,115.217571,9:45,6.35604,-2.13359,5.54991,-32.01344,6.68331,-11.76733,0.91984,-0.43263,79.07737,-8.793284,0.766852,0.447722,,,,,,,,,,,,6.75272,4.4628,1.89348,50,6.07825,-5.72267,-123.77401,-7.51562,10.55667,22.91309,-25.19727,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251101-BaggettStadium-Private-1,547dbc20-b748-11f0-a51a-97ab21df8871,84.1871,,,6.26949,,,,,,,748acbdf-b998-4a2c-87cd-82bef55141e1,2025-11-01,17:29:41.28,2025-11-01T10:29:41.2816896-07:00,2025-11-01T17:29:41.2816896Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,2a9ddad5-19b0-4a33-9280-6766e70ed061,54.95289,-124.68752,11.45655,6.35787,-6.51104,-12.59864,2.13003,-6.14355,5.27833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-11-01,10:30:04.95,2,2,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.83205,-2.966096,3.812712,2167.383384,137.263788,10:30,6.30415,-1.87158,6.08561,-19.73651,13.10973,-11.1939,1.90688,0.72806,84.56699,-6.662169,1.801226,0.412491,94.14747,2.531631,-3.915169,1290.635941,,,,58.7368,53.97967,-4.384136,0.431004,6.82367,7.85461,1.58296,50,6.06395,-8.4149,-133.12674,-7.54101,12.32259,26.90206,-17.98971,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251101-BaggettStadium-Private-1,628e8100-b748-11f0-a51a-97ab21df8871,91.37767,2.38813,,7.26506,,,,2.38695,2.03402,-0.70315,748acbdf-b998-4a2c-87cd-82bef55141e1,2025-11-01,17:30:04.95,2025-11-01T10:30:04.9545728-07:00,2025-11-01T17:30:04.9545728Z,GroundBall,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,3d5791aa-692a-48f6-aa94-fe557edaee6b,54.4168,-134.0163,13.45103,6.30347,-6.94615,-8.99486,1.86795,-8.82237,6.16129,357.979805,2.39284,137.44358,-16.53866,,,,,,,2.04666,5.70655,-24.3232,,,,,,,-0.70384,-9.39777,1.42626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-11-01,10:30:47.72,3,1,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.00496,-1.387558,2.339197,2495.928723,276.699701,3:15,6.33565,-1.96915,5.70505,-43.28435,0.25039,7.99394,1.43441,0.87781,74.66397,-9.249137,3.769939,0.474886,,,,,,,,,,,,-3.53394,0.7785,1.76773,50,6.19177,-5.04502,-116.26912,-4.23551,-4.88689,19.71813,-31.09748,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251101-BaggettStadium-Private-1,7c1318c0-b748-11f0-a51a-97ab21df8871,79.37156,,,5.34099,,,,,,,748acbdf-b998-4a2c-87cd-82bef55141e1,2025-11-01,17:30:47.72,2025-11-01T10:30:47.7237760-07:00,2025-11-01T17:30:47.7237760Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,f7b6761e-b0b2-4be6-a128-b2289a9d36ca,54.79867,-117.08011,9.85907,6.33967,-2.95651,-15.54874,1.97109,-4.84403,-2.44345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-11-01,10:31:06.66,3,2,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,2,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.26666,-3.847038,4.219824,2203.683405,141.537722,10:45,6.28817,-2.06246,5.83488,-15.26359,17.04883,-12.73209,1.42526,0.80598,85.58473,-6.73094,1.945112,0.409125,,,,,,,,,,,,7.74544,10.10382,1.72568,50,5.96426,-9.41894,-134.95381,-9.58013,14.33616,28.36838,-13.47269,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251101-BaggettStadium-Private-1,8756daf0-b748-11f0-a51a-97ab21df8871,92.12937,,,7.68193,,,,,,,748acbdf-b998-4a2c-87cd-82bef55141e1,2025-11-01,17:31:06.66,2025-11-01T10:31:06.6693120-07:00,2025-11-01T17:31:06.6693120Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,8550354f-6943-409b-9799-c54a5cd2b51e,54.66821,-135.93156,14.18419,6.28645,-9.11578,-6.73635,2.05883,-9.91305,7.16808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-11-01,10:31:30.04,3,3,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,2,1,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.93066,-1.982361,2.574694,2310.234744,139.464232,10:45,6.38339,-1.95615,6.00031,-16.39178,16.56879,-13.26741,3.17793,-0.6744,84.01736,-5.099117,0.1909,0.413208,85.52812,31.474231,-8.698823,4534.854114,107.03855,59.48514,-25.35243,298.66315,283.39759,-22.523617,4.629948,7.59315,9.41071,1.76095,50,6.21825,-5.4434,-133.42831,-5.1155,13.68419,28.79341,-15.21426,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251101-BaggettStadium-Private-1,95454ac0-b748-11f0-a51a-97ab21df8871,91.21902,71.84444,,7.9133,,,,1.93362,3.20122,0.68458,748acbdf-b998-4a2c-87cd-82bef55141e1,2025-11-01,17:31:30.04,2025-11-01T10:31:30.0494848-07:00,2025-11-01T17:31:30.0494848Z,FlyBall,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,4ed822e5-6cae-4c88-80f9-4c830d2b27b7,54.50128,-134.39616,14.39671,6.3816,-4.60409,-7.60713,1.95165,-5.90337,6.84209,144.056868,1.93431,105.74072,-21.71203,4.94885,-0.99135,0.19346,-0.03773,0.00536,-0.00033,3.2029,65.45287,-16.86002,0.37869,0.36591,-0.23652,0.07167,-0.01046,0.00059,0.6846,-16.1826,-5.71916,1.91661,-0.47841,0.10028,-0.0176,0.00211,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-11-01,10:32:12.84,4,1,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Spirdonoff, Gavin",10969691,Right,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.23132,-2.896122,2.954621,2263.953453,145.848979,10:45,6.45745,-1.86053,5.72784,-17.94808,15.2158,-9.59548,2.25852,0.09414,84.37059,-6.265836,1.24006,0.41448,,,,,,,,,,,,5.74492,8.88902,1.61998,50,6.20439,-6.48071,-133.66244,-7.35974,10.39129,28.85478,-16.09584,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251101-BaggettStadium-Private-1,aeca30a0-b748-11f0-a51a-97ab21df8871,90.93901,,,7.86073,,,,,,,748acbdf-b998-4a2c-87cd-82bef55141e1,2025-11-01,17:32:12.84,2025-11-01T10:32:12.8432128-07:00,2025-11-01T17:32:12.8432128Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,5ef29ba0-317a-4b41-b9f1-8026c8cec9dc,54.77333,-134.68895,14.42739,6.45603,-6.78713,-8.04792,1.85711,-6.85038,5.19564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
