PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-24,14:29:11.66,1,1,"Morano, Josh",814698,Left,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.46196,-2.599089,4.626184,2005.580791,147.361587,11:00,6.1761,-2.23768,5.71312,-15.64843,19.27808,-11.55028,2.4411,1.11907,81.83929,-5.593119,2.570302,0.425353,,,,,,,,,,,,7.24741,10.93146,1.85684,50,5.94823,-10.06127,-130.71481,-6.40256,12.42773,29.84135,-13.429,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251024-BaggettStadium-Private-1,7d69a230-b120-11f0-ac76-89f35cacca50,88.61457,,,8.62267,,,,,,,e16c34f7-98b7-4f76-a9ea-e595df242aae,2025-10-24,21:29:11.66,2025-10-24T14:29:11.6666880-07:00,2025-10-24T21:29:11.6666880Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,67ba46d4-626a-475e-a3c5-b62d39209d55,54.78486,-131.80264,14.92068,6.1727,-5.91302,-6.7145,2.23186,-10.5143,6.21387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-10-24,14:29:34.70,1,2,"Morano, Josh",814698,Left,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.37187,0.394579,1.798842,2206.786338,228.510613,1:30,5.96761,-2.4408,5.85998,-40.0675,9.49296,8.88028,2.99543,-0.02899,68.8228,-7.036697,3.390507,0.506686,64.77902,6.054915,-173.09791,1881.987329,,,,63.6177,51.09391,-171.410311,0.747741,-3.91855,5.31233,2.29022,50,5.97701,-3.77139,-109.32432,-0.42988,-4.71523,20.30528,-25.78168,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251024-BaggettStadium-Private-1,8b29fd20-b120-11f0-ac76-89f35cacca50,74.39012,4.37488,,6.54907,,,,2.89191,3.09098,0.05147,e16c34f7-98b7-4f76-a9ea-e595df242aae,2025-10-24,21:29:34.70,2025-10-24T14:29:34.7062784-07:00,2025-10-24T21:29:34.7062784Z,GroundBall,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,050acbab-1a6f-4417-971e-af929527e07f,54.63474,-110.18179,10.15264,5.97217,0.65885,-12.89084,2.44528,-3.57228,-2.35761,312.708737,2.89191,-93.79435,8.3895,-0.99267,0.21852,-0.02987,0.00561,-0.00119,0.0001,3.09098,10.02171,-19.92834,1.51284,-0.27861,0.05788,-0.00836,0.00159,-0.00024,0.05147,-11.35384,-2.1728,0.412,-0.07631,0.01395,-0.00208,0.00045,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
3,2025-10-24,14:29:57.10,1,3,"Morano, Josh",814698,Left,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,2,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.54371,-1.796652,3.422366,1741.793387,132.238734,10:30,6.03227,-2.28221,6.04936,-24.32281,11.40898,-10.96256,2.33859,-0.02369,79.72245,-6.404102,1.452388,0.430228,,,,,,,,,,,,6.91237,6.93473,2.02146,50,5.87937,-7.28106,-129.49055,-4.83173,11.38339,34.61839,-20.75382,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251024-BaggettStadium-Private-1,987aa650-b120-11f0-ac76-89f35cacca50,87.61036,,,9.82126,,,,,,,e16c34f7-98b7-4f76-a9ea-e595df242aae,2025-10-24,21:29:57.10,2025-10-24T14:29:57.1002880-07:00,2025-10-24T21:29:57.1002880Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,43807557-3bf1-43f9-9045-6a6ed7f18eea,54.44765,-130.67419,17.3092,6.03244,-4.12213,-10.37691,2.27706,-7.67027,5.6917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-10-24,14:30:18.17,1,4,"Morano, Josh",814698,Left,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,80.1541,-1.821177,4.515791,1460.867479,105.252522,9:30,5.92057,-2.27935,6.63617,-36.0438,7.07075,-20.10147,1.24385,0.1884,72.57149,-8.598075,0.863667,0.472589,,,,,,,,,,,,12.08835,4.77335,1.98105,50,5.78262,-8.47713,-116.07752,-4.67459,16.21115,25.19311,-25.7727,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251024-BaggettStadium-Private-1,a5160940-b120-11f0-ac76-89f35cacca50,79.75741,,,7.58261,,,,,,,e16c34f7-98b7-4f76-a9ea-e595df242aae,2025-10-24,21:30:18.17,2025-10-24T14:30:18.1790000-07:00,2025-10-24T21:30:18.1790000Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,4c40ce38-1455-4120-9b33-bf1544c8af79,53.86429,-116.91321,12.59656,5.9235,-3.81968,-12.88635,2.27117,-9.01488,8.10557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.14966,,,1.394238,,,,-3.03019,5.22845,0.89,73.52811,10.2181,-51.29411,-2.95921,58.56931,-2.65456,5.31601,24.04943,-14.71677,0.81403,-40.97953,2.57939,High,High,High,,,High,High,High
5,2025-10-24,14:30:46.25,2,1,"Morano, Josh",814698,Left,CAL_MUS,"Castellon, Nate",835064,Right,CAL_MUS,Undefined,1,Top,1,0,0,FourSeamFastBall,Sinker,InPlay,Undefined,FlyBall,Single,0,0,,90.4513,-2.715081,3.580095,1993.919614,130.204073,10:15,6.0861,-2.49715,5.62165,-20.57985,14.37099,-15.54792,1.83047,-0.44742,82.02813,-6.574143,0.808659,0.425501,98.61413,7.810563,3.467022,851.005446,109.5065,8.99283,10.40488,193.76281,192.59564,6.72705,1.618916,8.99067,8.46997,2.2018,50,5.84095,-7.50173,-130.88228,-6.90277,15.45523,29.94001,-17.61395,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251024-BaggettStadium-Private-1,b5cd8420-b120-11f0-ac76-89f35cacca50,88.58376,9.08536,,8.42317,,,,0.75154,1.7397,0.41445,e16c34f7-98b7-4f76-a9ea-e595df242aae,2025-10-24,21:30:46.25,2025-10-24T14:30:46.2583296-07:00,2025-10-24T21:30:46.2583296Z,LineDrive,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,56b02d1e-b883-4602-afcd-6d2475ed9a0d,54.87825,-131.99349,14.97001,6.08501,-6.24904,-8.80698,2.49086,-8.07534,7.72762,226.814375,0.75154,143.02977,-20.21358,4.13191,-0.85983,0.17723,-0.0354,0.00569,-0.00049,1.7397,19.65548,-13.44099,0.42245,-0.01602,-0.0054,0.00334,-0.00061,5E-05,0.41445,8.66545,4.55605,-1.23052,0.31074,-0.07359,0.01578,-0.00263,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-10-24,14:31:20.95,3,1,"Morano, Josh",814698,Left,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,0,0,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.5237,-1.941369,5.338283,1832.607097,155.220141,11:15,5.93042,-2.41696,5.90614,-20.08375,18.49907,-7.94772,2.44614,1.89044,77.97565,-5.737154,3.921739,0.447063,,,,,,,,,,,,5.5667,10.39619,1.99139,50,5.76225,-11.22528,-123.61286,-4.7802,8.59689,25.07593,-16.11878,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251024-BaggettStadium-Private-1,ca63bfd0-b120-11f0-ac76-89f35cacca50,84.31131,,,7.54805,,,,,,,e16c34f7-98b7-4f76-a9ea-e595df242aae,2025-10-24,21:31:20.95,2025-10-24T14:31:20.9595392-07:00,2025-10-24T21:31:20.9595392Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,4acb6052-d64a-4a94-a4f1-bf5a9a3ac4fa,54.5922,-124.54094,12.53796,5.92813,-4.18363,-8.05939,2.41274,-11.54346,4.29845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-10-24,14:31:39.78,3,2,"Morano, Josh",814698,Left,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.53871,-0.008222,2.521271,1435.8233,92.997506,9:00,5.86803,-2.43755,6.61612,-41.71101,2.01138,-14.3254,2.38457,-1.32068,72.71768,-7.776128,-0.086706,0.475908,,,,,,,,,,,,8.19028,1.46618,2.27151,50,5.85052,-4.555,-114.2628,-1.16788,10.90324,19.68412,-30.22221,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251024-BaggettStadium-Private-1,d59ab0c0-b120-11f0-ac76-89f35cacca50,79.20107,,,5.82103,,,,,,,e16c34f7-98b7-4f76-a9ea-e595df242aae,2025-10-24,21:31:39.78,2025-10-24T14:31:39.7852160-07:00,2025-10-24T21:31:39.7852160Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,0a80ef21-4054-4374-acfe-b0733d7df210,53.88654,-114.93039,9.84206,5.87275,-0.1429,-15.11111,2.43226,-4.92478,5.45162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-10-24,14:31:57.89,3,3,"Morano, Josh",814698,Left,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,1,2,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.40844,-0.683919,4.233108,1451.588606,102.166746,9:30,5.79664,-2.38917,6.74763,-38.24482,4.74815,-15.73595,1.98302,0.17381,72.95698,-7.847053,1.368765,0.471922,,,,,,,,,,,,9.50788,3.1178,2.11619,50,5.73713,-8.01073,-115.26512,-2.40087,12.78752,21.48547,-27.98078,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251024-BaggettStadium-Private-1,e0899c30-b120-11f0-ac76-89f35cacca50,79.87006,,,6.45146,,,,,,,e16c34f7-98b7-4f76-a9ea-e595df242aae,2025-10-24,21:31:57.89,2025-10-24T14:31:57.8959872-07:00,2025-10-24T21:31:57.8959872Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,4558b8a8-959c-4394-b3b6-056b0fc9441e,53.75417,-115.96279,10.74273,5.80034,-1.49229,-13.99039,2.38305,-8.42596,6.39376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-24,14:32:15.47,3,4,"Morano, Josh",814698,Left,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,1,2,1,FourSeamFastBall,Sinker,InPlay,Undefined,FlyBall,Triple,0,1,,89.95106,-1.632864,4.070901,2007.941358,129.217596,10:15,6.01043,-2.3529,5.93856,-20.01359,14.69481,-16.58973,2.82359,0.04755,81.88992,-5.41151,1.099663,0.424022,102.61529,22.154191,8.30444,2525.480158,107.95542,42.00865,21.10602,379.23036,378.52169,16.911729,4.213729,9.71249,8.35308,2.03722,50,5.8686,-8.57895,-130.32744,-4.34756,16.64701,28.27549,-17.85706,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251024-BaggettStadium-Private-1,eaf7bee0-b120-11f0-ac76-89f35cacca50,88.89261,58.50837,,8.06114,,,,1.06503,2.80799,-0.04372,e16c34f7-98b7-4f76-a9ea-e595df242aae,2025-10-24,21:32:15.47,2025-10-24T14:32:15.4737664-07:00,2025-10-24T21:32:15.4737664Z,FlyBall,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,ec44abd7-d5c0-4fd7-90ea-3c9b6acc8389,54.56241,-131.31356,14.13775,6.00936,-3.72478,-8.92853,2.34654,-9.15951,8.32351,216.805043,1.06393,137.95851,-26.23812,6.53016,-1.50176,0.33677,-0.06677,0.00885,-0.00052,2.80987,56.70485,-14.44124,-0.57916,0.5826,-0.23296,0.05766,-0.0075,0.00038,-0.04338,20.12287,5.32027,-2.21407,0.60073,-0.11624,0.01606,-0.00147,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-10-24,14:33:08.79,4,1,"Morano, Josh",814698,Left,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.2947,-1.111072,3.479199,2191.555887,221.996417,1:30,5.88871,-2.65101,5.89786,-40.78683,7.01705,5.06843,1.45625,1.00544,70.82022,-8.588317,4.386992,0.497626,,,,,,,,,,,,-1.70984,4.30126,2.36774,50,5.77552,-6.90915,-110.72358,-3.36112,-2.13624,18.58448,-26.80012,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251024-BaggettStadium-Private-1,0ac73570-b121-11f0-ac76-89f35cacca50,75.74452,,,5.47448,,,,,,,e16c34f7-98b7-4f76-a9ea-e595df242aae,2025-10-24,21:33:08.79,2025-10-24T14:33:08.7977984-07:00,2025-10-24T21:33:08.7977984Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,01479d28-20f9-4b97-a876-32e3f3a80713,54.60364,-111.4936,9.29224,5.89178,-2.25069,-13.40006,2.65218,-6.82064,-1.06812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
