PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-25,10:35:28.15,1,1,"Palmer, Laif",814157,Right,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.15804,-3.074156,-3.440621,2413.981098,216.590037,1:15,5.93572,1.94727,6.36977,-14.81887,16.97658,11.82843,1.86425,-0.23678,85.03831,-5.9195,-1.30325,0.405839,,,,,,,,,,,,-7.15957,10.04638,-1.70378,50,5.706,7.63444,-135.03394,-7.66548,-13.19384,29.93587,-13.6604,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251025-BaggettStadium-Private-1,0161b9d0-b1c9-11f0-b442-05a0d468f8c7,92.87532,,,8.11973,,,,,,,c9523d46-9ac7-4a8d-bb36-1030115bcda8,2025-10-25,17:35:28.15,2025-10-25T10:35:28.1530368-07:00,2025-10-25T17:35:28.1530368Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,0ef3ed93-aefb-4695-bb26-3552a04cbf69,54.13101,-135.94666,14.96794,5.93336,-7.24898,-6.8302,-1.94268,8.03671,-6.59692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-10-25,10:35:43.96,1,2,"Palmer, Laif",814157,Right,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.92078,-1.347154,-1.618767,2463.04435,174.050798,11:45,5.61091,2.0464,6.20371,-27.60179,7.18469,-0.63953,2.06653,0.49848,81.83657,-6.484275,-1.734257,0.424499,,,,,,,,,,,,-0.1028,4.41166,-1.92444,50,5.49575,3.67774,-129.23358,-3.93391,-0.17441,26.09242,-24.68832,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251025-BaggettStadium-Private-1,0ad61330-b1c9-11f0-b442-05a0d468f8c7,88.79278,,,7.08421,,,,,,,c9523d46-9ac7-4a8d-bb36-1030115bcda8,2025-10-25,17:35:43.96,2025-10-25T10:35:43.9603200-07:00,2025-10-25T17:35:43.9603200Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,0466c9ef-769f-400a-a9c6-46bbf806da00,54.29689,-130.09824,13.04621,5.61256,-3.11578,-12.34416,-2.04641,3.68352,-0.0872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-10-25,10:36:01.42,1,3,"Palmer, Laif",814157,Right,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.77855,0.3332,-0.510697,2532.206931,65.539457,8:15,5.65757,1.98378,6.1323,-40.59034,-1.21315,-5.32611,2.58304,1.06788,76.95633,-7.168253,-1.47218,0.451641,,,,,,,,,,,,2.605,-0.33346,-1.94211,50,5.66219,1.29084,-121.80891,-0.61548,3.91162,24.05545,-32.67474,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251025-BaggettStadium-Private-1,152674b0-b1c9-11f0-b442-05a0d468f8c7,83.4566,,,6.82223,,,,,,,c9523d46-9ac7-4a8d-bb36-1030115bcda8,2025-10-25,17:36:01.42,2025-10-25T10:36:01.4219776-07:00,2025-10-25T17:36:01.4219776Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,46d93837-5549-4b7e-9c9e-64e49bc976f7,54.36883,-122.66866,12.02772,5.66331,0.55232,-16.33737,-1.98575,1.15104,1.95581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-10-25,10:36:18.29,1,4,"Palmer, Laif",814157,Right,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.33515,-3.154171,-1.634408,2235.811969,193.837937,12:30,5.84618,1.92847,6.6762,-13.15387,18.24194,4.22933,1.86044,0.78532,84.82842,-5.718545,-0.864312,0.40328,,,,,,,,,,,,-2.72685,10.89922,-1.82066,50,5.62931,3.69779,-135.45014,-7.7712,-5.02507,31.81334,-12.08876,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251025-BaggettStadium-Private-1,1f3fe7b0-b1c9-11f0-b442-05a0d468f8c7,93.46458,,,8.50674,,,,,,,c9523d46-9ac7-4a8d-bb36-1030115bcda8,2025-10-25,17:36:18.29,2025-10-25T10:36:18.2970000-07:00,2025-10-25T17:36:18.2970000Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,20dd869f-21ec-4c97-8576-ad53fdd55388,53.82341,-136.34519,15.90667,5.84316,-7.43109,-6.04438,-1.92669,3.83917,-2.51253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.17292,,,1.134082,,,,-1.31956,6.32812,-0.51048,69.66678,5.51782,-55.13209,-1.26921,66.82757,-3.76594,6.38072,14.85788,-13.76356,-0.59467,-54.00893,5.20871,High,High,High,,,High,High,High
5,2025-10-25,10:36:58.84,2,1,"Palmer, Laif",814157,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.21141,-1.383451,-2.821992,2316.938522,200.522556,12:45,5.78028,1.66133,6.7559,-13.68812,17.72777,6.23221,3.37414,-0.3991,84.41398,-4.063898,-1.687153,0.403409,77.13854,21.583604,-167.270287,1615.755183,-107.37022,20.19951,-23.90871,175.86811,60.06965,-167.303578,1.974915,-4.15858,10.11532,-1.47843,50,5.68386,6.42387,-135.31383,-3.58253,-7.63309,32.28453,-13.60729,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251025-BaggettStadium-Private-1,3771e7c0-b1c9-11f0-b442-05a0d468f8c7,93.43469,21.40201,,8.79743,,,,0.07405,3.30532,0.44624,c9523d46-9ac7-4a8d-bb36-1030115bcda8,2025-10-25,17:36:58.84,2025-10-25T10:36:58.8459520-07:00,2025-10-25T17:36:58.8459520Z,LineDrive,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,bdaae84b-b097-458c-a559-9dd560ff7aae,53.74307,-136.20396,16.14227,5.77746,-3.20735,-6.80365,-1.65845,6.63432,-3.81655,359.70931,0.07407,-102.61942,9.25745,-1.15454,0.50007,-0.26441,0.11343,-0.02766,0.00284,3.30538,41.61212,-26.00516,2.51793,0.00806,-0.32355,0.16607,-0.03895,0.00369,0.44624,-23.1818,2.05423,-0.26242,0.07085,-0.02487,0.0101,-0.00258,0.00028,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2025-10-25,10:37:18.39,2,2,"Palmer, Laif",814157,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,1,0,1,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.20373,-2.111131,-2.158348,2333.482666,163.995181,11:30,5.74502,1.79711,6.30413,-24.63013,10.34867,-2.61988,1.74524,-0.41067,80.9926,-6.743336,-2.631997,0.425671,,,,,,,,,,,,0.68874,6.40303,-1.63746,50,5.57819,4.98118,-129.38876,-5.52615,1.15353,30.02789,-21.44989,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251025-BaggettStadium-Private-1,43194dc0-b1c9-11f0-b442-05a0d468f8c7,88.54831,,,8.21113,,,,,,,c9523d46-9ac7-4a8d-bb36-1030115bcda8,2025-10-25,17:37:18.39,2025-10-25T10:37:18.3924736-07:00,2025-10-25T17:37:18.3924736Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,eac422e8-6d18-4d7b-8015-46a12331d530,54.19472,-130.35862,15.01394,5.74549,-4.83335,-10.72495,-1.79775,4.94393,0.57677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-10-25,10:37:33.28,2,3,"Palmer, Laif",814157,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.28006,-1.708913,-2.75131,1702.458546,67.67532,8:15,5.79888,1.85958,6.3471,-42.26786,-2.36453,-8.8813,0.70112,-1.41524,76.52846,-9.495705,-4.359522,0.454649,,,,,,,,,,,,3.78713,-0.29083,-1.65579,50,5.65535,6.13941,-120.87275,-4.93761,5.55859,25.29744,-32.60091,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251025-BaggettStadium-Private-1,4be8dba0-b1c9-11f0-b442-05a0d468f8c7,82.90453,,,6.75161,,,,,,,c9523d46-9ac7-4a8d-bb36-1030115bcda8,2025-10-25,17:37:33.28,2025-10-25T10:37:33.2860928-07:00,2025-10-25T17:37:33.2860928Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,50832bd0-356e-4c9b-bb5d-f1a60f29689e,54.15355,-121.73894,12.64872,5.80531,-3.82135,-16.30046,-1.86275,5.94908,2.77929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-10-25,10:37:51.67,2,4,"Palmer, Laif",814157,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.12502,0.076568,-0.283333,2420.016946,107.421285,9:30,5.80773,1.87772,6.13386,-37.20069,3.30043,-6.02426,2.77845,1.11382,75.3823,-6.852016,-1.370631,0.458042,,,,,,,,,,,,2.99725,2.1402,-1.85319,50,5.79481,0.83378,-120.67692,-1.01957,4.36163,26.37277,-29.05962,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251025-BaggettStadium-Private-1,56e0eed0-b1c9-11f0-b442-05a0d468f8c7,82.29044,,,7.74272,,,,,,,c9523d46-9ac7-4a8d-bb36-1030115bcda8,2025-10-25,17:37:51.67,2025-10-25T10:37:51.6789760-07:00,2025-10-25T17:37:51.6789760Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,9ffe2b64-4b2c-498c-8676-11a6d084b1d6,54.36387,-121.62686,13.18638,5.81268,0.02716,-14.52981,-1.88039,0.67667,2.18081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-25,10:38:09.01,2,5,"Palmer, Laif",814157,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,1,2,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.55853,-3.724727,-2.810334,2283.217211,203.130564,12:45,5.6797,1.87665,6.89914,-14.00182,18.90454,7.52725,1.11104,-0.05815,82.07033,-6.486786,-1.435414,0.412868,,,,,,,,,,,,-4.9941,11.72953,-1.70178,50,5.4391,6.22294,-132.5733,-8.9301,-8.67554,34.6588,-11.79793,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251025-BaggettStadium-Private-1,61404470-b1c9-11f0-b442-05a0d468f8c7,91.29415,,,9.4882,,,,,,,c9523d46-9ac7-4a8d-bb36-1030115bcda8,2025-10-25,17:38:09.01,2025-10-25T10:38:09.0109440-07:00,2025-10-25T17:38:09.0109440Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,096909b6-3fea-495a-bf96-cede8d35af1b,53.59917,-133.51092,17.3294,5.67637,-8.61093,-5.89897,-1.8733,6.45764,-4.33777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-25,10:38:25.75,2,6,"Palmer, Laif",814157,Right,CAL_MUS,"Downing, Jake",1000279465,Left,CAL_MUS,Undefined,1,Top,1,3,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.45414,-2.081796,-2.343211,2353.009634,221.86206,1:30,5.74663,1.88206,6.7729,-15.98788,16.41099,13.56442,2.51093,0.87158,82.56989,-5.212742,0.130766,0.409672,78.1572,5.455494,-172.446949,1085.251328,,,,102.60589,47.61292,-169.748471,1.007008,-7.74461,9.67249,-1.73181,50,5.60379,4.8824,-133.93538,-5.22986,-13.73451,35.31783,-15.02057,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251025-BaggettStadium-Private-1,6b27d200-b1c9-11f0-b442-05a0d468f8c7,92.00634,4.56795,,9.88425,,,,0.66606,2.36038,-0.82729,c9523d46-9ac7-4a8d-bb36-1030115bcda8,2025-10-25,17:38:25.75,2025-10-25T10:38:25.7516544-07:00,2025-10-25T17:38:25.7516544Z,GroundBall,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,a50f207c-0016-44f6-8242-54b3ca568225,53.7178,-134.91217,17.65891,5.74268,-4.81443,-7.51028,-1.8721,5.26226,-6.86725,232.231992,0.58257,-111.98642,11.13952,,,,,,,2.38245,10.60668,-12.90345,,,,,,,-0.80073,-15.36383,-1.98411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
