PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-31,14:24:59.48,1,1,"Naess, Griffin",1000250439,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.22014,-2.698134,-3.773483,2131.756642,214.326315,1:15,6.50315,1.56841,5.82547,-19.52934,16.9558,10.69902,2.36003,-1.05317,79.99623,-6.392024,-1.860875,0.43474,,,,,,,,,,,,-6.59689,9.84953,-1.2659,50,6.27059,7.96241,-127.63551,-6.61513,-10.78517,28.46067,-16.07123,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251031-BaggettStadium-Private-1,0fa21b30-b6a0-11f0-a51a-97ab21df8871,86.70113,,,8.22391,,,,,,,71fbfa29-fc44-4e6e-90c7-1edcd21b0d22,2025-10-31,21:24:59.48,2025-10-31T14:24:59.4840000-07:00,2025-10-31T21:24:59.4840000Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,7598fdeb-ccca-4df8-bf96-422e1658d98d,54.67291,-128.67328,14.23034,6.50112,-6.02913,-8.03562,-1.56341,8.35567,-5.39259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-10-31,14:25:18.20,1,2,"Naess, Griffin",1000250439,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,81.31119,-1.180857,-2.880435,2450.588296,169.952426,11:45,6.41451,1.76197,5.6452,-36.41281,6.163,-0.8639,2.27704,-0.9992,75.02743,-7.851529,-3.034638,0.469627,67.78138,27.948688,143.96069,4412.97965,-94.71217,22.77175,55.94232,161.02562,57.86093,151.717791,2.252576,-0.3322,3.81685,-1.51671,50,6.29079,5.97025,-117.99219,-3.63274,-0.4699,21.75344,-26.77534,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251031-BaggettStadium-Private-1,1ae7b220-b6a0-11f0-a51a-97ab21df8871,80.26042,25.77144,,6.28376,,,,1.69357,2.29595,0.87624,71fbfa29-fc44-4e6e-90c7-1edcd21b0d22,2025-10-31,21:25:18.20,2025-10-31T14:25:18.2000000-07:00,2025-10-31T21:25:18.2000000Z,FlyBall,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,13174503-aad1-4b5b-a972-b44d279609e1,54.85612,-118.8841,10.87672,6.41723,-2.53492,-13.38767,-1.76189,5.98952,-0.23495,,1.69357,-71.01019,3.18543,0.35654,-0.28124,0.08829,-0.01694,0.00197,-3E-05,2.29595,46.59276,-25.52069,2.76719,-0.48212,0.07254,-0.01397,0.00295,-0.00033,0.87624,51.66802,-13.95253,4.20912,-1.04389,0.21165,-0.035,0.00312,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-10-31,14:25:42.30,1,3,"Naess, Griffin",1000250439,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.18184,-0.659333,-1.221843,2858.127419,44.210353,7:30,6.39958,1.69877,5.00656,-63.52909,-12.8117,-14.23001,0.48294,-0.6406,69.55866,-12.048371,-3.746043,0.512566,,,,,,,,,,,,6.72579,-5.78449,-1.56911,50,6.28417,2.91081,-110.40052,-3.50309,8.11613,23.73303,-39.15428,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251031-BaggettStadium-Private-1,29505b00-b6a0-11f0-a51a-97ab21df8871,73.53674,,,6.62318,,,,,,,71fbfa29-fc44-4e6e-90c7-1edcd21b0d22,2025-10-31,21:25:42.30,2025-10-31T14:25:42.3020000-07:00,2025-10-31T21:25:42.3020000Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,787638a6-1bf9-430f-8a56-27c6544fbd68,55.49712,-111.57599,11.86652,6.40965,-1.56382,-19.57714,-1.70333,2.50883,4.05806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-10-31,14:26:03.05,1,4,"Naess, Griffin",1000250439,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,0,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.07674,-0.707894,-3.717094,2029.937915,269.955379,3:00,6.48112,1.65741,5.64561,-46.62436,1.8363,23.55324,1.934,0.14798,69.69045,-9.280887,0.49201,0.501033,71.02282,64.131072,64.400515,5010.921949,31.83873,105.16324,105.2913,163.81517,71.96082,75.191995,5.289346,-13.31056,1.61614,-1.35735,50,6.39115,6.37179,-111.58372,-2.85208,-16.44102,23.87977,-30.17783,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251031-BaggettStadium-Private-1,35a90fa0-b6a0-11f0-a51a-97ab21df8871,75.2295,114.31586,,7.38629,,,,,,,71fbfa29-fc44-4e6e-90c7-1edcd21b0d22,2025-10-31,21:26:03.05,2025-10-31T14:26:03.0520000-07:00,2025-10-31T21:26:03.0520000Z,Popup,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,a4c904ce-ec44-47e9-b395-059637ba91fb,54.85613,-112.61818,11.93989,6.48638,-1.5448,-15.08892,-1.64879,7.08401,-8.22051,,5.17803,19.5899,-7.51145,1.6576,0.18147,-0.26657,0.08335,-0.01152,0.0006,4.02845,93.94923,-24.80166,3.70194,-1.3065,0.36902,-0.06387,0.00563,-0.00018,-0.00949,40.9398,-5.0151,0.8415,0.09086,-0.10113,0.02719,-0.00333,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2025-10-31,14:26:35.21,1,5,"Naess, Griffin",1000250439,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.65152,-1.471377,-4.3236,2176.703741,215.207021,1:15,6.46674,1.63426,5.95446,-19.04599,17.03938,11.10044,3.5108,-1.45811,79.94073,-5.104217,-2.337352,0.432351,,,,,,,,,,,,-7.02933,9.56784,-1.29605,50,6.33887,9.22216,-128.24114,-3.85406,-11.55435,29.72729,-16.44712,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251031-BaggettStadium-Private-1,48b0e320-b6a0-11f0-a51a-97ab21df8871,87.18009,,,8.71079,,,,,,,71fbfa29-fc44-4e6e-90c7-1edcd21b0d22,2025-10-31,21:26:35.21,2025-10-31T14:26:35.2170000-07:00,2025-10-31T21:26:35.2170000Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,33af9b83-bfa5-47d6-95ab-dff725bf7721,54.543,-129.28995,14.86365,6.4646,-3.27378,-8.22356,-1.62861,9.62981,-5.77718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-10-31,14:26:58.73,1,6,"Naess, Griffin",1000250439,Right,CAL_MUS,"Garza, Alejandro",835211,Right,CAL_MUS,Undefined,1,Top,0,1,1,Slider,Curveball,InPlay,Undefined,LineDrive,Out,1,0,,76.35951,0.660762,-0.083513,2847.845513,50.027796,7:45,6.44435,1.58219,4.93319,-63.872,-12.79599,-17.65257,1.7463,0.0322,68.75425,-10.855802,-3.208011,0.514375,99.22425,21.50067,2.609141,3113.242636,109.53424,38.2699,10.10427,350.10143,346.72986,10.895936,3.989499,8.7493,-6.10855,-1.55839,50,6.45524,0.8749,-110.54281,-1.01223,10.48381,25.50725,-39.4936,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251031-BaggettStadium-Private-1,56df6930-b6a0-11f0-a51a-97ab21df8871,73.27813,51.03758,,7.60525,,,,3.49205,2.22481,-0.14802,71fbfa29-fc44-4e6e-90c7-1edcd21b0d22,2025-10-31,21:26:58.73,2025-10-31T14:26:58.7350000-07:00,2025-10-31T21:26:58.7350000Z,LineDrive,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,66f79f82-a78c-40cb-b59d-9e111e91a309,55.56885,-111.82041,12.75363,6.4564,0.96592,-19.7468,-1.58906,0.34979,5.2419,220.797071,3.49118,135.28602,-24.33245,5.7862,-1.45092,0.38974,-0.09175,0.01356,-0.00084,2.22583,53.31008,-14.9689,-0.28596,0.586,-0.27672,0.0768,-0.01095,0.00061,-0.14803,6.16465,7.96443,-3.21335,0.96121,-0.22574,0.04002,-0.00447,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-10-31,14:27:45.39,2,1,"Naess, Griffin",1000250439,Right,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.40495,-1.431578,-3.726111,2168.762155,254.800402,2:30,6.43862,1.81527,5.72986,-39.84774,7.87367,22.55395,1.7816,0.2196,70.19984,-8.796178,0.308417,0.497196,,,,,,,,,,,,-12.71064,4.95796,-1.51839,50,6.2946,6.45323,-112.06226,-4.02645,-15.91675,23.13092,-25.96552,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251031-BaggettStadium-Private-1,72aabca0-b6a0-11f0-a51a-97ab21df8871,75.80996,,,7.20511,,,,,,,71fbfa29-fc44-4e6e-90c7-1edcd21b0d22,2025-10-31,21:27:45.39,2025-10-31T14:27:45.3920000-07:00,2025-10-31T21:27:45.3920000Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,7068f09e-6e54-4e73-88c2-b08af0173737,54.77063,-113.04268,11.56546,6.44194,-2.92588,-12.98276,-1.80621,7.12788,-7.95837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-10-31,14:28:06.29,2,2,"Naess, Griffin",1000250439,Right,CAL_MUS,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Error,0,0,,78.43223,-1.063559,-2.994202,2186.264323,254.432089,2:30,6.41504,1.89068,5.49965,-39.75723,7.06764,19.25611,2.10566,0.69217,71.09077,-8.383868,0.437924,0.492504,93.32836,-10.927483,23.720958,,,,,14.07663,11.45584,16.052108,0.084958,-10.76532,4.35937,-1.64246,50,6.29521,5.20006,-113.60023,-3.38918,-13.84875,23.83295,-26.56605,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251031-BaggettStadium-Private-1,7f1fd2e0-b6a0-11f0-a51a-97ab21df8871,76.53227,2.20799,,7.34146,,,,3.05761,2.20799,-0.7083,71fbfa29-fc44-4e6e-90c7-1edcd21b0d22,2025-10-31,21:28:06.29,2025-10-31T14:28:06.2990000-07:00,2025-10-31T21:28:06.2990000Z,GroundBall,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,c7210315-81c6-4f21-988b-c8528ef7d356,55.00104,-114.64463,11.91648,6.41822,-2.22501,-13.28303,-1.88364,5.80694,-6.92437,180,3.05494,123.23996,,,,,,,,2.20855,-25.98928,,,,,,,,-0.70948,54.15233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
9,2025-10-31,14:29:20.70,3,1,"Naess, Griffin",1000250439,Right,CAL_MUS,"Castro, Antonio",1000300490,Left,CAL_MUS,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.46058,-1.372882,-3.531459,2047.290251,256.532731,2:30,6.43023,1.74915,5.71512,-42.70569,6.59823,19.5534,1.58978,0.08454,68.91238,-9.267407,-0.033017,0.505373,,,,,,,,,,,,-11.19115,4.35981,-1.46582,50,6.28901,6.09692,-110.61589,-3.95737,-13.54185,24.02995,-26.89846,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251031-BaggettStadium-Private-1,ab78d210-b6a0-11f0-a51a-97ab21df8871,74.58337,,,7.5482,,,,,,,71fbfa29-fc44-4e6e-90c7-1edcd21b0d22,2025-10-31,21:29:20.70,2025-10-31T14:29:20.7010000-07:00,2025-10-31T21:29:20.7010000Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,2f45e15b-0745-471b-8adc-f3b7b2c3c678,54.78391,-111.6503,12.01498,6.43444,-2.79948,-13.44923,-1.74082,6.67985,-6.77093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-31,14:29:47.27,3,2,"Naess, Griffin",1000250439,Right,CAL_MUS,"Castro, Antonio",1000300490,Left,CAL_MUS,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.64825,-1.319273,-4.139841,2214.141676,258.6809,2:30,6.384,1.79054,5.62766,-42.68451,6.61063,23.37749,1.59248,-0.13104,68.99927,-9.200833,0.032443,0.505328,,,,,,,,,,,,-13.28627,4.34815,-1.45274,50,6.24428,7.13088,-110.80204,-3.88141,-16.13082,24.11522,-26.89497,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20251031-BaggettStadium-Private-1,bb4d3ff0-b6a0-11f0-a51a-97ab21df8871,74.59003,,,7.64898,,,,,,,71fbfa29-fc44-4e6e-90c7-1edcd21b0d22,2025-10-31,21:29:47.27,2025-10-31T14:29:47.2710000-07:00,2025-10-31T21:29:47.2710000Z,,v3,471251,471251,,"Tayman, Ryan",822034,Right,CAL_MUS,7e9a1623-1514-4af4-a000-ab366299847a,54.87163,-111.85729,12.05761,6.38838,-2.70453,-13.44748,-1.78022,7.83674,-8.06541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
